AMD name,AMD skill
"['David Cheng', 'Hungshi Lin']",16.668000000000003
"['Chris Ou', 'Jiahao Sun']",40.82011599939345
"['Kyle Jordan Emerick', 'Tuan La']",41.632199501590065
"['Stephen Chiu', 'Andy Lam']",58.93930915470038
"['William Cheung', 'Jarold Cordero']",59.82035403776618
"['Johnny Vu', 'Steven Yang']",62.16715599857712
,
BMD name,BMD skill
"['Jiankang Cao', 'Tengyue Ren']",12.357655665028371
"['David Cheng', 'Hungshi Lin']",16.668000000000003
"['Winston ChowFun Tang', 'Ryan Wang']",23.957672307897127
"['Shrayus Gupta', 'Richard Nguyen']",26.551499601678987
"['Ethan Chuang', 'Ryan Tseng']",39.301938710626935
"['John Lau', 'Joshua Lea']",39.550480545312126
"['Chris Ou', 'Jiahao Sun']",40.82011599939345
"['Alex Chang', 'Arnav Taneja']",43.646539649520484
"['Anthony Chu', 'Byron Li']",45.45272308648484
"['Lakshmi Chaladi', 'Harsha Perannagari']",49.782927899557535
"['Boyang Robert Hu', 'Deepak Talwar']",50.083624054245504
"['James Hein', 'Arjun Loganathan']",51.45308659573421
"['Martin Mitchel', 'Marc Rusli']",53.23461206992673
"['Anjo Gabriel Cordero', 'Johnjo Riguera']",53.88776357941182
"['Andre Alvarez', 'Douglas La']",58.79690614655622
"['Nicholas Ho', 'Kevin Zhou']",58.815748731683655
"['Stephen Chiu', 'Andy Lam']",58.93930915470038
"['Johnny Vu', 'Steven Yang']",62.16715599857712
"['Daniel Guo', 'Van Hoang Pham']",62.4424841075438
"['Jerry Lam', 'Josh Buag Serrano']",63.35044827817053
,
CMD name,CMD skill
"['Victor Shi', 'Joey Situ']",10.36919920856582
"['Luis Montoya', 'Lada Yang']",15.171296489277115
"['Tsun Him LAM', 'Tsun Wang LAM']",16.25403176677323
"['Anh Nguyen', 'Liang Qu']",16.668000000000003
"['Austin Chang', 'Joshua Huang']",16.668000000000003
"['John Do', 'Shiva Sridar']",16.668000000000003
"['Zhaoyuan Liang', 'Yonghui Luo']",16.668000000000003
"['Easton Cullen', 'Jason Ho']",17.94341150434726
"['Aster Chun', 'Rj Lee']",21.75486420655156
"['Wenjun Shen', 'Kok Jie Soo']",23.233333068173387
