AMS name,AMS skill
Marc Rusli,22.10977443604513
Brian Quijano,22.373921773743064
Alex Trinh,27.012669076843018
Carter Tong,27.655607512529706
Jennie Gai,29.386220184479555
Alohi Sheung,30.33223954669777
Omkar Arvind Lonkar,32.51954094382713
Kyle Jordan Emerick,33.29819950159007
Ray NGAN,35.488398548171936
Alexander Zheng,37.868086689818526
,
BMS name,BMS skill
Jiankang Cao,4.0236556650283735
Ryan Wang,15.623672307897126
Domenick Wuu,16.189337985454824
Kittu Katakam,18.76412799217604
Marc Rusli,22.10977443604513
Brian Quijano,22.373921773743064
Nayeem Khaja,24.458561647876756
Johnjo Riguera,25.21404672098601
Leo Shaw,25.685782292084287
Alex Trinh,27.012669076843018
Sudhanshu Singhal,28.205775194881806
Wyatt Fong,29.551160426961204
Alohi Sheung,30.33223954669777
Kevin Zhou,31.79796313228193
Jarold Cordero,33.346291946765184
,
CMS name,CMS skill
Jiankang Cao,4.0236556650283735
Thien Nguyen,4.2499073287029425
Robin Bao Lee,6.234716727859229
Changwen Liu,6.715741800040939
Tsun Wang LAM,7.054644808722615
Tsun Him LAM,9.199386958050617
Jansen Mok,10.392781377244923
Tenjing Sherpa,14.800553799835608
Andrew Leoveras Elma,14.81667086585398
Ryan Wang,15.623672307897126
Domenick Wuu,16.189337985454824
Ryan Tseng,16.381325803448807
Lakshya Rajpal,16.779303040336877
Shrayes Bhagavatula,17.11459531576515
Brandon Lee,17.49926106445681
Alexander Mai,17.793459840783534
Austin Tsang,18.048035067071933
Spencer edward Brownfield,18.188186470909972
Amit Vishwesh Palekar,18.371061122484015
Kittu Katakam,18.76412799217604
Raymond Ji,18.80665464767249
Clement Hoang,20.176534574650034
Akhil Saranath,20.88799749974541
Vivan Sinha,21.17410791384247
Vivek Verma,22.800430950277292
Deepak Talwar,23.04053085204518
Prom Putthisri,23.064993078221956
Bryant Zhang,23.224601727495404
Vinh Pham,23.412366342716673
Sydney Samol,24.18641990357411
Ronald Fong,24.696667617962365
Rehaan Patel,24.80737013580358
Jerry Ju,25.116587531393506
Leo Shaw,25.685782292084287
Felix Lieu,26.03419844832999
Ryan Phan,26.721279919541452
Van Hoang Pham,32.063638961527566
,
DMS name,DMS skill
Thien Nguyen,4.2499073287029425
Tiamron Nieltawee,4.943111185643813
Robin Bao Lee,6.234716727859229
Yujie FENG,6.5080878257273005
Changwen Liu,6.715741800040939
Tsun Wang LAM,7.054644808722615
Tsun Him LAM,9.199386958050617
Jansen Mok,10.392781377244923
Min Lin,13.798500656362583
Kenny Liang,14.191708054114642
Tenjing Sherpa,14.800553799835608
Andrew Leoveras Elma,14.81667086585398
Kameran Hossain,14.858286459730135
Frank Ye,16.314231250962525
Lakshya Rajpal,16.779303040336877
Shrayes Bhagavatula,17.11459531576515
Brandon Lee,17.49926106445681
Alexander Mai,17.793459840783534
Austin Tsang,18.048035067071933
Amit Vishwesh Palekar,18.371061122484015
Bryant Xu,18.639821591479606
Raymond Ji,18.80665464767249
Hyeonwoo Wang,18.980620995489545
Thai Hoang Luong,19.562726867855208
Akhil Saranath,20.88799749974541
Vivan Sinha,21.17410791384247
Hugo Lin,21.900026667102107
Vivek Verma,22.800430950277292
Bryce Chao,22.870258537451235
Prom Putthisri,23.064993078221956
Sydney Samol,24.18641990357411
Rehaan Patel,24.80737013580358
Matthew Leoveras Elma,25.436990905810227
Felix Lieu,26.03419844832999
Nero Chen,26.16567256792738
