1,Joshua J Alexander
,Issey Sone
2,Benedictus Azali
,
3,Jesse Brown
,David Zhou
4,Alex Chang
,Ian Yu-Hung Tseng
5,Austin Chang
,Joshua Huang
6,Bryce Chao
,Felix Pan
7,Koty Chen
,Cote Feldsine
8,Aster Chun
,Rj Lee
9,Leo Chun
,Danny Mok
10,Shashank Dholakia
,Shishir Dholakia
11,Edward Ding
,Alex Zhang
12,Brendan Dinh
,Brian Hien Nguyen
13,John Do
,Shiva Sridar
14,Andrew Leoveras Elma
,
15,Matthew Leoveras Elma
,
16,Josue A. Gutierrez
,
17,Anthony Ha
,Tam Vo
18,Paco He
,Danny Shum
19,Ivan Ho
,Yuyang Zhou
20,Clement Hoang
,Tianshi Ning
21,Kameran Hossain
,Tiamron Nieltawee
22,Riad Hossain
,
23,Robin Hu
,Wilbur Shi
24,Stanley Huang
,
25,Nicholas Joseph Jiang
,Zach Leung
26,Tsun Him Lam
,Tsun Wang Lam
27,Justin Pj Lee
,Austin Tsang
28,Bryan Leung
,Nhat Ton
29,Eric Li
,Bryant Xu
30,Kenny Liang
,Frank Ye
31,Zhaoyuan Liang
,Yonghui Luo
32,Darren Lin
,Lakshya Rajpal
33,Min Lin
,Stephen Yang
34,Nareauphol Liu
,Prom Putthisri
35,Thai Hoang Luong
,Bryant Zhang
36,Luis Montoya
,Lada Yang
37,Anh Nguyen
,Liang Qu
38,Amit Vishwesh Palekar
,
39,Rehaan Patel
,Akhil Saranath
40,Sebastian Podiono
,Vincenzio Widjaja
41,Wenjun Shen
,Kok Jie Soo
42,Victor Shi
,Joey Situ
43,Jotsroop Singh Sidhu
,
44,Oliver Zolla Staten
,
45,Vivek Verma
,
46,Hyeonwoo Wang
,
47,Kevin Yu
,Joey Zhuang
