,Loser,Winner
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898265,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/465378
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/041903,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12843777
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12835249,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12897250
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/roblee04,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020034
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Tep70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Shingchin
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12849868,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895668
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12859713,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12875415
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12845211,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12872751,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886758
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12878047
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12825432,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017103111585357
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/28917382743,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12863264,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161
14,/player/Caleb Chiang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034098
15,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/149058,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482
16,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/135,/player/Eric Sheng
17,/player/Eric Sheng,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/465378
18,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12843777,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020390
19,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12851783,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12897250
20,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/022699,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
21,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020034,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556
22,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12905401,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Shingchin
23,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12892615,/player/Tristan Garcia
24,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12901088,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943
25,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019561,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12875415
26,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886758,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616
27,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12825432,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017103111585357
28,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/465378,/player/Caleb Chiang
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12843777,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12838387,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10
31,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910220,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12897250,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Roberthe9606,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/135
35,/player/Tristan Garcia,/player/Sam Vuong
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Yes
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12825427
38,/player/Patricia Tran,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12870250
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895668,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12875415
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/465378,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12878047,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886758
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017103111585357,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020390
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Shingchin,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/21761611616616161,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034098
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12901088,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/SJSU,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12872751,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943
48,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/roblee04,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10
50,/player/Eric Sheng,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898265
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910220,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034098,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038,/player/Caleb Chiang
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12875415,/player/Tristan Garcia
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898265,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12880700,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12859713,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/E2017103111585357
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895668,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/041903,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/149058
