,Winner1,Winner2,Loser1,Loser2
0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018334,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019255,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020501
1,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1002506,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018447,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019500,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1002516
2,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020760,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020757,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019307,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019219
3,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018891,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018691,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020252
4,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019506,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020287,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019515,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019826
5,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019581,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1017675,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018418,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019293
6,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47984,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019718,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2035698,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019575
7,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020250,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020235,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018958,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018391
8,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47403,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018449,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019696,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47378
9,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034306,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034051,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47412,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018456
10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034559,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034316,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020125,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020771
11,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018469,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018468,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020783,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020290
12,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018341,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1006883,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018360,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020133
13,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033329,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47377,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034305,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47589
