,Average,95% CI
chen long,31.555857954207262,1.7374796840907523
lee chong wei,31.00129469613511,1.7116799303476335
kento momota,30.461773534350733,1.8746152843645156
viktor axelsen,30.35137185541181,1.6359408539677982
lin dan,29.98749443350088,1.7088184890692932
shi yuqi,28.884741498889515,1.6614417365585044
kidambi srikanth,28.820711523648487,1.7215385964398613
son wan ho,28.51089658189163,1.6199391992828598
lee hyun il,28.022950193256914,1.7245405963211375
jonatan christie,27.612093355307252,1.9427961983759743
anders antonsen,26.9537609030356,1.6828130336577742
ng ka long angus,26.894928324633767,1.6348050447944387
chou tien chen,26.891160062051437,1.6209388886847504
prannoy h. s.,26.854263770341777,1.7745818226325976
tommy sugiarto,26.7413294063407,1.7130038002682189
tian houwei,26.583872288053126,1.6641650077946273
anthony sinisuka ginting,26.550491433520424,1.7806014330435453
wong wing ki vincent,26.421674289456764,1.6524859318247995
sai praneeth b.,26.42046269484928,1.8826610982213976
rajiv ouseph,26.26052807209955,1.7247579776363733
jeon hyeok jin,25.9491630167986,1.7237835862215258
qiao bin,25.928400097226675,1.7602128242866666
lee dong keun,25.721907126104178,1.7186834421675266
sameer verma,25.664048465877705,1.7670251633175742
ajay jayaram,25.478398871700797,1.705180309102857
hans-kristian solberg vittinghus,25.27222215335849,2.018194627800371
kanta tsuneyama,25.215791159694437,1.769355841596916
tanongsak saensomboonsuk,25.180959665123044,1.6473006271629462
kenta nishimoto,25.09933487889142,1.6969494355703827
marc zwiebler,25.065443421877582,1.734954488642511
ihsan maulana mustofa,24.916584395647064,1.7420727601384134
parupalli kashyap,24.815651340741436,1.7243543061732955
lee cheuk yiu,24.71260183939692,1.895017354855136
huang yuxiang,24.400605322308124,1.708266438002156
kazumasa sakai,24.367876919802278,1.711379845859749
iskandar zulkarnain,24.291081220822424,2.8114540839571975
zhao junpeng,24.177702168788116,2.47162479889273
lee zii jia,24.172329571492618,2.7479836164111626
wei nan,24.150742314339258,1.6887581151212063
wang tzu wei,24.031090860689623,3.232403890114712
daren liew,23.95677767184919,2.1274041756943616
khosit phetpradab,23.934292470110222,1.7928474466282955
brice leverdez,23.810268031718184,1.6843862821352802
sony dwi kuncoro,23.774701534928173,1.8207446680334958
rasmus gemke,23.693551649056907,1.913946691587738
suppanyu avihingsanon,23.55548084846186,1.916250956485222
hu yun,23.355334895715252,1.6901990329716918
takuma ueda,23.296270993595243,1.6942615465549145
wei feng chong,23.039368057420518,1.9356032838433899
firman abdul kholik,23.034801573199623,1.9066900112401595
sourabh verma,22.972696157276925,2.472891202800352
emil holst,22.93217709716013,1.7023148560521506
tien minh nguyen,22.867335101343883,2.026705401612448
hsu jen hao,22.85897535464794,1.7028574731858244
fabian roth,22.857699718586847,1.8296905809785942
pannawit thongnuam,22.786391690127655,1.913023124995085
mark caljouw,22.730638560111167,1.7565029411744668
kantaphon wangcharoen,22.685648575632612,2.1352572986694214
zulfadli zulkiffli,22.533925576455147,1.8477418716529181
lin yu hsien,22.3227165285721,1.831500029717688
yu igarashi,22.311912249303663,2.1083500744388264
panji ahmad maulana,22.258412892370206,2.631093701867466
koki watanabe,22.150943864108456,2.2868988623915714
giap chin goh,21.940633551062685,2.2274253709736307
ygor coelho,21.91843804290177,2.243685305880337
lucas corvee,21.73865364337894,1.7654221520305624
pablo abian,21.658149135048202,1.7219777310616595
shesar hiren rhustavito,21.525430941291607,2.386625195252295
toby penty,21.04889340991744,1.822684951519764
thomas rouxel,20.97195373850378,1.8400585056564738
harsheel dani,20.909786259993925,2.1433452390680348
hsueh hsuan yi,20.76393349515151,2.1728927849819737
kevin cordon,20.49389289395768,2.5295993439722357
subhankar dey,20.446399501926457,1.8922542801673343
joo ven soong,20.387252216651017,2.0011049228267352
raul must,20.26626436244342,1.83059243261182
lucas claerbout,20.22478952328816,1.8677510927850112
kim bruun,20.16766217381864,1.7789553909679559
lakshya sen,20.053007064404405,3.042061582889227
victor svendsen,20.01458479789599,1.9479806889620788
osleni guerrero,19.78079092185784,3.050204982663939
zvonimir durkinjak,19.69681165008944,2.2793939311986167
lim chi wing,19.565010243349363,2.5816118501926355
kieran merrilees,19.51333700840893,1.9241758721403612
luis ramon garrido,19.467285781622117,2.7402939200965593
sergey sirant,19.447172210274804,2.5751927387999456
misha zilberman,19.113198041492055,2.273271147825183
niluka karunaratne,18.99137270604718,2.4311900498050463
kai schaefer,18.65572552400454,1.978424129836673
eetu heino,18.367495950869085,1.9372811817487188
kalle koljonen,18.25205448193157,1.9510693961913625
vladimir malkov,18.004733982422763,1.9213626044713958
rahul yadav chittaboina,17.44724501662943,2.69623102276981
artem pochtarov,16.10727285644681,2.6436644439852626
sam parsons,15.804803019668286,2.296349060997918
maxime moreels,14.752443896035366,2.572724551045361
abhishek yelegar,14.626157563303861,3.282840459840859
rosario maddaloni,14.308931984724277,3.00461772419546
gergely krausz,12.836011102297862,2.9037719172827794
georges julien paul,11.696356609136908,4.288016433834973
